id,order_id,product_id,quantity,price_at_time_of_order,discount_amount,discount_reason
1,1,145,4,22.1,0,
2,1,149,5,31.59,0,
3,1,144,3,18.94,0,
4,1,146,3,21.94,0,
5,1,147,3,77.04,0,
6,1,148,5,4.03,0,
7,1,151,2,23.2,0,
8,1,141,2,93.26,0,
9,1,138,3,12.38,0,
10,1,135,1,27.22,0,
11,1,140,6,40.85,0,
12,1,143,4,78.49,0,
13,1,139,3,26.63,0,
14,1,150,4,62.67,0,
15,1,142,2,76.4,0,
16,1,137,3,7.05,0,
17,1,136,2,7.65,0,
18,2,159,1,893.75,0,
19,2,175,1,27.08,0,
20,3,187,1,6.2,0,
21,3,196,1,910.01,0,
22,3,194,1,11.78,0,
23,3,179,2,38.73,0,
24,3,181,1,1.13,0,
25,3,191,1,4.05,0,
26,3,195,1,20.21,0,
27,3,178,1,19.58,0,
28,4,89,1,87.26,0,
29,4,92,3,11.98,0,
30,4,97,2,13.45,0,
31,4,87,2,24.38,0,
32,4,90,2,20.37,0,
33,4,93,1,73.48,0,
34,4,96,1,42.14,0,
35,4,88,1,8.07,0,
36,5,227,1,36.62,0,
37,5,229,1,5.2,0,
38,5,232,2,20.24,0,
39,5,237,2,11.68,0,
40,5,241,1,44.22,0,
41,5,234,1,31.67,0,
42,5,239,1,5.76,0,
43,6,204,1,6.98,0,
44,6,213,1,8.01,0,
45,6,205,1,97.65,0,
46,7,293,3,2.68,0,
47,7,296,2,38.35,0,
48,7,289,2,4.61,0,
49,7,298,2,48.81,0,
50,7,300,2,21.03,0,
51,7,301,1,16.2,0,
52,7,290,1,42.19,0,
53,7,292,2,1.34,0,
54,7,304,1,9.66,0,
55,7,291,1,26.06,0,
56,8,104,2,4.27,0,
57,8,106,2,10.76,0,
58,8,98,2,17.33,0,
59,8,102,2,2.68,0,
60,8,99,2,41.3,0,
61,8,108,3,17.53,0,
62,8,101,2,6.44,0,
63,8,100,2,49.45,0,
64,8,103,1,68.33,0,
65,8,109,1,18.63,0,
66,9,46,1,94.42,0,
67,9,57,1,161.76,0,
68,9,48,1,13.92,0,
69,9,56,1,69.26,0,
70,9,50,1,11.97,0,
71,9,49,1,26.91,0,
72,10,58,1,12.34,0,
73,10,67,1,39.01,0,
74,10,71,2,31.17,0,
75,10,60,1,28.79,0,
76,10,64,2,24.36,0,
77,11,57,4,161.76,0,
78,11,55,3,16.76,0,
79,11,50,4,11.97,0,
80,11,54,1,913.93,0,
81,11,49,2,26.91,0,
82,11,51,3,26.67,0,
83,11,56,1,69.26,0,
84,12,149,2,31.59,0,
85,12,136,3,7.65,0,
86,12,145,1,22.1,0,
87,12,144,4,18.94,0,
88,12,143,2,78.49,0,
89,12,139,4,26.63,0,
90,12,150,1,62.67,0,
91,12,147,2,77.04,0,
92,12,137,2,7.05,0,
93,12,151,1,23.2,0,
94,12,140,1,40.85,0,
95,12,138,1,12.38,0,
96,13,246,1,7.13,0,
97,13,247,2,135.17,0,
98,13,252,3,33.09,0,
99,13,249,2,7.81,0,
100,13,253,1,773.19,0,
101,13,255,1,54.47,0,
102,13,254,1,1.6,0,
103,14,115,2,41.22,0,
104,14,119,2,23.33,0,
105,14,126,1,28.16,0,
106,14,112,1,25.39,0,
107,15,7,1,8.55,0,
108,15,11,1,54.75,0,
109,15,1,1,8.15,0,
110,15,6,2,57.85,0,
111,15,3,1,6.15,0,
112,16,196,1,910.01,0,
113,16,176,1,25.65,0,
114,17,70,1,51.76,0,
115,17,64,2,24.36,0,
116,17,71,4,31.17,0,
117,17,65,1,32.75,0,
118,17,68,3,33.16,0,
119,17,58,3,12.34,0,
120,17,67,4,39.01,0,
121,17,62,2,30.29,0,
122,17,60,1,28.79,0,
123,17,69,3,2.34,0,
124,17,66,2,5.95,0,
125,18,204,1,6.98,0,
126,18,208,1,45.43,0,
127,18,207,1,16.95,0,
128,18,203,1,43.33,0,
129,18,202,2,34.33,0,
130,18,212,1,47.45,0,
131,18,211,3,33.57,0,
132,18,201,1,64.5,0,
133,18,206,1,3.96,0,
134,18,213,1,8.01,0,
135,19,292,1,1.34,0,
136,19,300,1,21.03,0,
137,20,229,1,5.2,0,
138,20,240,1,592.81,0,
139,20,232,1,20.24,0,
140,20,233,1,38.41,0,
141,20,228,1,37.63,0,
142,21,168,1,9.78,0,
143,21,174,1,18.98,0,
144,22,258,3,37.73,0,
145,22,260,6,5.37,0,
146,22,256,3,37.21,0,
147,22,259,1,2.59,0,
148,22,264,4,22.57,0,
149,22,262,4,23.48,0,
150,22,265,1,58.55,0,
151,22,263,2,36.7,0,
152,22,257,1,3.92,0,
153,22,266,2,57.77,0,
154,22,261,1,141.95,0,
155,23,76,2,22.05,0,
156,23,72,1,32.45,0,
157,23,74,2,29.09,0,
158,23,77,1,31.64,0,
159,23,79,1,20.73,0,
160,23,75,1,37.78,0,
161,23,85,1,51.42,0,
162,24,174,1,18.98,0,
163,24,167,1,4.71,0,
164,24,166,1,38.36,0,
165,24,162,1,8.2,0,
166,24,161,1,24.48,0,
167,24,157,1,6.56,0,
168,25,204,1,6.98,0,
169,25,208,2,45.43,0,
170,25,213,2,8.01,0,
171,25,207,3,16.95,0,
172,25,206,1,3.96,0,
173,25,211,1,33.57,0,
174,25,212,2,47.45,0,
175,25,201,1,64.5,0,
176,25,210,1,29.52,0,
177,25,205,1,97.65,0,
178,26,67,4,39.01,0,
179,26,60,4,28.79,0,
180,26,70,2,51.76,0,
181,26,68,4,33.16,0,
182,26,64,2,24.36,0,
183,26,63,2,49.28,0,
184,26,65,8,32.75,0,
185,26,61,1,27.15,0,
186,26,69,2,2.34,0,
187,26,59,3,29.86,0,
188,26,62,1,30.29,0,
189,26,71,1,31.17,0,
190,26,66,2,5.95,0,
191,27,262,1,23.48,0,
192,27,258,2,37.73,0,
193,27,257,1,3.92,0,
194,27,256,2,37.21,0,
195,27,265,1,58.55,0,
196,28,197,1,76.69,0,
197,28,182,1,7.3,0,
198,28,186,1,32.85,0,
199,28,181,1,1.13,0,
200,28,185,1,38.01,0,
201,28,194,1,11.78,0,
202,28,179,1,38.73,0,
203,28,184,1,8.91,0,
204,28,198,1,2.77,0,
205,28,193,1,4.61,0,
206,29,32,1,51.36,0,
207,29,14,1,3.31,0,
208,29,34,1,21.44,0,
209,29,16,1,55.99,0,
210,29,22,1,29.45,0,
211,29,26,1,7.33,0,
212,29,33,1,15.31,0,
213,29,35,1,48.02,0,
214,30,255,2,54.47,0,
215,30,254,1,1.6,0,
216,30,247,1,135.17,0,
217,31,108,1,17.53,0,
218,31,106,2,10.76,0,
219,31,98,2,17.33,0,
220,31,101,2,6.44,0,
221,31,100,3,49.45,0,
222,31,107,2,60.48,0,
223,31,102,1,2.68,0,
224,31,103,3,68.33,0,
225,31,99,1,41.3,0,
226,31,109,1,18.63,0,
227,32,132,1,8.35,0,
228,32,117,1,112.8,0,
229,32,126,2,28.16,0,
230,32,130,1,5.72,0,
231,33,99,3,41.3,0,
232,33,109,1,18.63,0,
233,33,102,2,2.68,0,
234,33,100,2,49.45,0,
235,33,107,2,60.48,0,
236,33,103,2,68.33,0,
237,33,104,2,4.27,0,
238,33,101,1,6.44,0,
239,34,94,1,39.95,0,
240,35,290,1,42.19,0,
241,35,292,1,1.34,0,
242,36,264,2,22.57,0,
243,36,259,3,2.59,0,
244,36,261,2,141.95,0,
245,36,257,1,3.92,0,
246,36,265,2,58.55,0,
247,36,256,2,37.21,0,
248,36,262,1,23.48,0,
249,36,258,3,37.73,0,
250,36,260,1,5.37,0,
251,37,66,1,5.95,0,
252,37,71,2,31.17,0,
253,37,64,3,24.36,0,
254,37,65,2,32.75,0,
255,37,60,2,28.79,0,
256,37,68,1,33.16,0,
257,37,58,1,12.34,0,
258,37,59,1,29.86,0,
259,37,63,1,49.28,0,
260,38,151,1,23.2,0,
261,38,137,2,7.05,0,
262,38,149,1,31.59,0,
263,38,143,1,78.49,0,
264,38,148,2,4.03,0,
265,38,138,1,12.38,0,
266,38,135,1,27.22,0,
267,38,147,1,77.04,0,
268,39,309,1,46.37,0,
269,39,318,1,2.84,0,
270,39,320,2,42.03,0,
271,39,315,2,58.5,0,
272,39,307,2,152.11,0,
273,39,314,2,6.71,0,
274,39,311,2,40.83,0,
275,39,317,1,16.61,0,
276,39,312,1,32.05,0,
277,39,310,2,67.59,0,
278,39,316,1,5.94,0,
279,40,39,2,13.28,0,
280,40,44,3,56.79,0,
281,40,36,2,4.12,0,
282,40,41,2,20.97,0,
283,40,37,2,81.08,0,
284,40,42,1,31.03,0,
285,41,220,1,21.95,0,
286,41,218,3,27.15,0,
287,41,216,2,4.37,0,
288,41,226,3,43.07,0,
289,41,221,1,509.35,0,
290,41,219,2,37.09,0,
291,41,225,1,44.89,0,
292,42,35,1,48.02,0,
293,42,34,1,21.44,0,
294,42,17,1,8.66,0,
295,42,31,1,173.71,0,
296,42,29,1,10.99,0,
297,42,20,1,43.04,0,
298,43,16,1,55.99,0,
299,44,89,2,87.26,0,
300,44,95,2,36.65,0,
301,44,88,2,8.07,0,
302,44,94,3,39.95,0,
303,44,90,1,20.37,0,
304,45,63,3,49.28,0,
305,45,61,3,27.15,0,
306,45,59,1,29.86,0,
307,45,65,4,32.75,0,
308,45,66,6,5.95,0,
309,45,58,3,12.34,0,
310,45,69,3,2.34,0,
311,45,68,5,33.16,0,
312,45,67,3,39.01,0,
313,45,64,4,24.36,0,
314,45,62,2,30.29,0,
315,45,60,1,28.79,0,
316,46,50,2,11.97,0,
317,46,48,1,13.92,0,
318,46,47,1,6.65,0,
319,46,56,3,69.26,0,
320,46,51,2,26.67,0,
321,46,55,1,16.76,0,
322,46,49,2,26.91,0,
323,46,52,1,8.07,0,
324,47,109,1,18.63,0,
325,47,98,1,17.33,0,
326,47,101,1,6.44,0,
327,47,104,1,4.27,0,
328,47,103,1,68.33,0,
329,47,105,2,49.54,0,
330,47,107,2,60.48,0,
331,47,102,1,2.68,0,
332,49,245,1,2.58,0,
333,49,230,2,76.34,0,
334,49,238,1,10.48,0,
335,49,241,3,44.22,0,
336,49,235,2,32.63,0,
337,49,239,2,5.76,0,
338,49,227,2,36.62,0,
339,49,234,1,31.67,0,
340,49,237,1,11.68,0,
341,50,255,1,54.47,0,
342,50,250,1,38.37,0,
343,50,251,1,1.39,0,
344,50,248,2,52.51,0,
345,50,249,2,7.81,0,
346,50,254,2,1.6,0,
347,50,246,1,7.13,0,
348,50,247,1,135.17,0,
349,51,7,2,8.55,0,
350,51,3,1,6.15,0,
351,51,10,3,22.26,0,
352,51,6,1,57.85,0,
353,51,8,1,118.57,0,
354,51,12,1,23.1,0,
355,51,1,1,8.15,0,
356,52,43,1,3.11,0,
357,52,42,1,31.03,0,
